Artist,PlayCount
Ashanti,4
Augustines,4
Baha Men,4
Band of Horses,4
Berlin,4
Billy Bragg,4
Birdy,4
Boyzone,4
Bread,4
Bright Eyes,4
Bucks Fizz,4
Busta Rhymes,4
Cajun Dance Party,4
Camilla and the Chickens,4
Chris Isaak,4
Climie Fisher,4
Colbie Caillat,4
Danny Wilson,4
Dashboard Confessional,4
Death from Above 1979,4
Dio,4
Donny Osmond,4
Dropkick Murphys,4
Dum Dums,4
Electric Six,4
Elvis Presley vs. Junkie XL,4
Emma Stone and Ryan Gosling,4
Emmy the Great & Tim Wheeler,4
Enrique Iglesias,4
Eternal,4
Everclear,4
Faithless,4
Fiction Factory,4
G.R.L.,4
Gabrielle Aplin,4
Ghost,4
Girl Thing,4
Gladys Knight,4
Gladys Knight & The Pips,4
Goldie Lookin' Chain,4
Henry Mancini,4
Holly Valance,4
Howards Alias,4
Ian van Dahl,4
Ike & Tina Turner,4
Imogen Heap,4
Jack Feldman & Tom Snow,4
Jack White & Alicia Keys,4
Jackie Wilson,4
Jacqui Abbott,4
Jamelia,4
James Newton Howard,4
Jay & The Americans,4
Jeff Beck,4
Jefferson Airplane,4
Jennifer Paige,4
Jewel,4
JJ72,4
Joey Ramone,4
John Tartaglia,4
John Waite,4
Joshua Radin,4
Junior Senior,4
Keith Mansfield,4
Keith Whitley,4
Kermit & Chris Cooper,4
Labrinth,4
Lauryn Hill,4
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic, Ty Dolla $ign & X Ambassadors",4
Little Mix,4
Lorde,4
Lordi,4
Lykke Li,4
Macklemore & Ryan Lewis,4
Martika,4
"Mary Costa, Bill Shirley and Chorus",4
Metro Station,4
Michelle Branch,4
Miley Cyrus,4
Morcheeba,4
Mr. Mister,4
Mylo,4
N*E*R*D,4
Nathan Evans,4
Netta,4
Nicki Minaj,4
Oingo Boingo,4
Old 97's,4
Orange Juice,4
Paper Aeroplanes,4
Paul Tiernan,4
Pentatonix,4
"Phil Harris, Scatman Crothers, Thurl Ravenscroft and Liz English",4
Philip Bailey & Phil Collins,4
Psy,4
Queen + Paul Rodgers,4
Quindon Tarver,4
Richard O'Brien,4
Right Said Fred,4
Ringo Starr,4
Robert Guillaume & Ladysmith Black Mambazo,4
Roy Wood,4
Saint Etienne,4
Saint Motel,4
Sananda Maitreya,4
Score,4
Sean Paul,4
Shakespear's Sister,4
Sheena Easton,4
Showaddywaddy,4
Skid Row,4
Spoon,4
Sugar Ray and the Bluetones,4
Sutherland Brothers & Quiver,4
Sylver Tongue,4
The Alan Parsons Project,4
The Androids,4
The Ataris,4
The Beat,4
The Crystals,4
The Decemberists,4
The Dubliners,4
